,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
27,28,017513,广发北证50成份指数C,2025-07-18,1.665,1.665,-0.62,-0.14,1.79,7.07,27.43,106.81,83.55,,37.29,66.5,107.8652,0.00%
28,29,020458,平安医药精选股票A,2025-07-18,2.059,2.059,1.39,11.3,18.52,44.95,89.65,106.19,,,88.93,105.9,106.0649,0.15%
29,30,021030,汇添富国证港股通创新药ETF发起式联接A,2025-07-18,2.0003,2.0003,0.87,12.82,19.22,55.09,90.34,105.98,,,82.18,100.03,104.8648,0.08%
30,31,020459,平安医药精选股票C,2025-07-18,2.0546,2.0546,1.39,11.28,18.47,44.84,89.24,105.83,,,88.48,105.46,105.748,0.00%
31,32,017968,华富科技动能混合C,2025-07-18,1.3479,1.3479,-1.35,8.39,4.55,17.46,29.31,105.72,32.0,,45.99,22.37,105.1286,0.00%
32,33,021031,汇添富国证港股通创新药ETF发起式联接C,2025-07-18,1.9954,1.9954,0.87,12.81,19.2,55.01,90.15,105.58,,,81.98,99.54,104.4467,0.00%
33,34,006603,嘉实互融精选股票A,2025-07-18,2.2282,2.2282,1.61,13.35,19.7,51.69,98.95,104.25,97.71,106.93,92.93,122.82,103.5444,0.15%
34,35,019670,广发中证香港创新药ETF发起式联接(QDII)A,2025-07-18,1.4323,1.4323,0.97,13.12,20.14,55.2,89.26,103.39,,,80.96,43.23,102.388,0.12%
35,36,020232,嘉实互融精选股票C,2025-07-18,2.2113,2.2113,1.6,13.34,19.66,51.41,98.38,103.34,,,92.35,73.79,102.6485,0.00%
36,37,019671,广发中证香港创新药ETF发起式联接(QDII)C,2025-07-18,1.4249,1.4249,0.96,13.11,20.1,55.08,88.98,102.8,,,80.66,42.49,101.77,0.00%
37,38,006720,平安核心优势混合A,2025-07-18,2.8059,2.8059,1.36,11.02,18.13,46.49,95.25,102.07,52.72,32.87,94.45,180.59,101.7037,0.15%
38,39,006721,平安核心优势混合C,2025-07-18,2.6529,2.6529,1.36,11.0,18.05,46.14,94.42,100.46,50.3,29.75,93.56,165.29,100.1131,0.00%
39,40,001900,诺安精选价值混合A,2025-07-18,1.9208,1.9208,1.53,14.34,18.04,44.06,98.08,100.13,87.83,50.89,96.26,92.08,99.3358,0.15%
40,41,011188,信澳星奕混合A,2025-07-18,1.5529,1.5529,0.58,5.95,6.05,21.06,32.92,96.17,47.21,14.18,38.21,55.29,95.999,0.15%
41,42,016970,华夏恒生生物科技ETF发起式联接(QDII)A,2025-07-18,1.2556,1.2556,0.78,11.93,17.15,46.44,80.27,95.03,42.89,,73.5,25.56,94.727,0.12%
42,43,020634,汇添富恒生生物科技ETF发起式联接(QDII)A,2025-07-18,1.7619,1.7619,0.77,11.87,17.23,45.89,79.58,94.81,,,73.01,76.19,94.4058,0.10%
43,44,015289,格林高股息优选混合A,2025-07-18,1.6654,1.6654,0.57,3.55,8.74,22.09,41.05,94.69,62.59,,48.68,66.54,91.8664,0.15%
44,45,016295,新华利率债债券E,2025-07-18,1.5573,2.0024,0.0,0.07,0.0,0.11,0.32,94.66,97.56,,0.33,100.4,94.7526,0.00%
45,46,011223,信澳星奕混合C,2025-07-18,1.4983,1.4983,0.58,5.93,5.98,20.8,32.38,94.61,44.88,11.47,37.6,49.83,94.4329,0.00%
46,47,020635,汇添富恒生生物科技ETF发起式联接(QDII)C,2025-07-18,1.7568,1.7568,0.76,11.86,17.21,45.82,79.41,94.44,,,72.81,75.68,94.0144,0.00%
47,48,016971,华夏恒生生物科技ETF发起式联接(QDII)C,2025-07-18,1.2457,1.2457,0.78,11.92,17.12,46.33,79.99,94.43,42.04,,73.21,24.57,94.125,0.00%
48,49,001970,泰信鑫选灵活配置混合A,2025-07-18,1.206,1.206,0.0,1.43,3.61,-2.9,12.4,93.89,23.69,-0.08,17.2,20.6,85.5385,0.15%
49,50,015290,格林高股息优选混合C,2025-07-18,1.6488,1.6488,0.58,3.54,8.71,21.98,40.73,93.77,61.08,,48.31,64.88,90.9659,0.00%
50,51,002580,泰信鑫选灵活配置混合C,2025-07-18,1.197,1.197,0.08,1.53,3.64,-2.92,12.39,93.69,23.4,-0.42,17.24,19.22,85.2941,0.00%
51,52,017515,易方达北证50成份指数A,2025-07-18,1.4423,1.4423,-0.63,-0.14,1.85,7.04,25.75,92.98,66.55,,35.41,44.23,94.0401,0.12%
52,53,019993,创金合信北证50成份指数增强A,2025-07-18,1.6157,1.6157,-0.42,-0.1,2.03,4.83,25.35,92.97,,,34.74,61.57,94.148,0.12%
53,54,001148,申万菱信多策略灵活配置混合A,2025-07-18,2.163,2.366,0.89,0.84,4.39,8.64,26.2,92.61,43.63,37.42,27.31,162.06,85.506,0.07%
54,55,017516,易方达北证50成份指数C,2025-07-18,1.4314,1.4314,-0.63,-0.15,1.83,6.96,25.56,92.42,65.56,,35.19,43.14,93.4847,0.00%
55,56,019994,创金合信北证50成份指数增强C,2025-07-18,1.6083,1.6083,-0.42,-0.1,2.0,4.75,25.16,92.4,,,34.52,60.83,93.5612,0.00%
56,57,018835,广发成长启航混合A,2025-07-18,1.8837,1.8837,1.28,4.62,11.43,21.67,35.98,92.37,,,34.7,88.37,93.1406,0.15%
57,58,001724,申万菱信多策略灵活配置混合C,2025-07-18,2.092,2.198,0.87,0.87,4.39,8.56,26.1,92.28,42.99,36.55,27.17,125.52,85.1327,0.00%
58,59,018836,广发成长启航混合C,2025-07-18,1.8768,1.8768,1.27,4.6,11.38,21.52,35.63,92.0,,,34.32,87.68,92.7889,0.00%
59,60,001230,鹏华医药科技股票A,2025-07-18,1.86,1.86,1.88,11.09,18.68,45.71,87.39,91.73,76.47,68.33,84.76,86.0,91.4565,0.15%
60,61,009414,中银大健康股票A,2025-07-18,1.7967,1.7967,1.67,10.79,13.22,38.04,85.72,91.02,86.75,63.0,81.5,79.67,89.8457,0.15%
61,62,017900,鹏华医药科技股票C,2025-07-18,1.5622,1.5622,1.88,11.08,18.65,45.56,87.02,90.98,74.94,,84.35,56.22,90.7215,0.00%
62,63,018078,南方恒生生物科技ETF发起联接(QDII)A,2025-07-18,1.3631,1.3631,0.78,11.98,17.03,45.99,79.73,90.86,39.25,,72.74,36.31,90.4569,0.12%
63,64,004263,华安沪港深机会灵活配置混合,2025-07-18,2.058,2.27,1.33,10.53,14.08,33.46,59.78,90.56,42.52,-0.82,55.09,139.01,87.2611,0.15%
64,65,015641,银华数字经济股票发起式A,2025-07-18,1.3885,1.3885,0.05,0.61,3.89,8.18,3.9,90.47,43.96,24.73,6.4,38.85,89.2721,0.15%
65,66,010321,中银大健康股票C,2025-07-18,1.764,1.764,1.67,10.78,13.19,37.91,85.39,90.31,85.33,61.11,81.13,45.85,89.1689,0.00%
66,67,018079,南方恒生生物科技ETF发起联接(QDII)C,2025-07-18,1.3546,1.3546,0.78,11.98,17.01,45.88,79.46,90.28,38.44,,72.45,35.46,89.9061,0.00%
67,68,019916,富国医药创新股票A,2025-07-18,1.8567,1.8567,1.29,12.01,18.13,46.42,91.45,90.08,,,85.69,85.67,88.6124,0.15%
68,69,015642,银华数字经济股票发起式C,2025-07-18,1.3788,1.3788,0.04,0.6,3.87,8.12,3.72,89.94,43.28,23.89,6.21,37.88,88.7733,0.00%
69,70,019864,浦银安盛高端装备混合A,2025-07-18,1.8082,1.8082,0.49,6.15,8.46,17.94,19.31,89.32,,,34.83,80.82,88.4523,0.15%
70,71,020110,富国恒生港股通医疗保健ETF发起式联接A,2025-07-18,1.4984,1.4984,0.72,13.0,18.11,50.85,77.56,89.14,,,72.13,49.84,89.2397,0.12%
71,72,015630,申万菱信乐融一年持有混合A,2025-07-18,1.4249,1.4249,-0.56,-2.92,-5.2,19.66,40.72,88.95,45.95,42.68,47.11,42.49,90.0627,0.15%
72,73,019917,富国医药创新股票C,2025-07-18,1.8402,1.8402,1.3,12.0,18.08,46.19,90.87,88.82,,,85.07,84.02,87.3549,0.00%
73,74,020111,富国恒生港股通医疗保健ETF发起式联接C,2025-07-18,1.4934,1.4934,0.71,13.0,18.08,50.77,77.36,88.75,,,71.93,49.34,88.8467,0.00%
74,75,002833,华夏新锦绣混合A,2025-07-18,2.5986,2.8606,0.93,2.34,6.49,19.81,35.44,88.59,59.36,75.51,33.36,205.82,85.4421,0.15%
75,76,002834,华夏新锦绣混合C,2025-07-18,2.5931,2.5931,0.93,2.34,6.48,19.78,35.37,88.4,59.05,,33.29,159.31,85.2611,0.00%
76,77,015631,申万菱信乐融一年持有混合C,2025-07-18,1.4076,1.4076,-0.56,-2.92,-5.22,19.53,40.45,88.21,44.81,40.99,46.79,40.76,89.3462,0.00%
77,78,019865,浦银安盛高端装备混合C,2025-07-18,1.7918,1.7918,0.5,6.14,8.42,17.83,19.06,87.82,,,34.53,79.18,86.9769,0.00%
78,79,014317,广发价值领航一年持有混合A,2025-07-18,1.7903,1.7903,1.58,4.1,7.41,24.07,44.24,87.29,61.09,76.16,45.86,79.03,86.6257,0.15%
79,80,007718,中银创新医疗混合A,2025-07-18,2.1787,2.2342,1.59,12.34,15.32,38.16,87.79,87.22,73.56,56.65,81.06,126.49,85.516,0.15%
80,81,006881,华宝大健康混合A,2025-07-18,2.792,2.792,1.99,14.19,19.68,47.03,94.01,86.77,76.72,53.03,87.96,179.2,84.7905,0.15%
81,82,010500,中银创新医疗混合C,2025-07-18,2.1443,2.1992,1.59,12.34,15.28,38.2,87.64,86.64,72.63,55.21,80.89,24.64,84.9491,0.00%
82,83,014318,广发价值领航一年持有混合C,2025-07-18,1.7671,1.7671,1.58,4.09,7.38,23.95,43.96,86.42,59.7,73.96,45.54,76.71,85.7759,0.00%
83,84,003032,平安医疗健康混合A,2025-07-18,2.915,2.915,1.34,11.21,19.14,45.86,88.08,86.3,79.19,51.86,87.56,191.47,88.1009,0.15%
84,85,290011,泰信中小盘精选混合,2025-07-18,3.837,4.097,-0.05,2.27,4.78,-2.69,12.09,85.9,15.33,2.32,16.48,348.89,77.8035,0.15%
85,86,017519,汇添富北证50成份指数A,2025-07-18,1.4032,1.4032,-0.64,-0.14,1.78,6.51,25.08,85.88,59.15,,34.78,40.32,86.9189,0.10%
86,87,018529,华宝大健康混合C,2025-07-18,2.7546,2.7546,1.99,14.18,19.63,46.86,93.5,85.75,74.5,,87.41,55.05,83.7993,0.00%
87,88,005117,金信价值精选混合A,2025-07-18,1.8021,1.8021,1.64,8.63,20.84,47.56,64.83,85.59,53.8,49.48,60.6,80.21,84.4147,0.08%
88,89,005118,金信价值精选混合C,2025-07-18,1.5464,1.7225,1.64,8.63,20.83,47.54,64.76,85.42,53.49,49.04,60.53,81.09,84.2268,0.00%
89,90,020137,平安医疗健康混合C,2025-07-18,2.895,2.895,1.34,11.21,19.1,45.56,87.55,85.41,,,86.99,67.87,87.209,0.00%
90,91,011826,汇添富健康生活一年持有混合A,2025-07-18,1.6112,1.6112,2.15,12.77,17.58,45.21,94.35,85.2,82.43,71.17,87.85,61.12,83.1325,0.15%
91,92,017520,汇添富北证50成份指数C,2025-07-18,1.3891,1.3891,-0.64,-0.15,1.76,6.4,24.83,85.14,57.89,,34.49,38.91,86.1815,0.00%
92,93,016075,华夏智造升级混合A,2025-07-18,0.9574,0.9574,-0.27,3.45,3.7,12.69,15.34,85.08,8.13,,26.88,-4.26,83.5858,0.15%
93,94,019415,南方港股医药行业混合发起(QDII)A,2025-07-17,1.4871,1.4871,5.3,11.75,14.98,40.25,76.78,84.71,,,69.14,48.71,,0.12%
94,95,013037,长城大健康混合A,2025-07-18,1.1639,1.1639,1.99,16.27,24.95,51.21,86.19,84.63,50.37,20.82,80.09,16.39,83.4647,0.15%
95,96,000270,建信灵活配置混合A,2025-07-18,1.5453,2.3604,0.44,2.42,9.15,23.99,37.85,84.6,50.42,50.01,39.77,136.04,80.8003,0.12%
96,97,011827,汇添富健康生活一年持有混合C,2025-07-18,1.5837,1.5837,2.15,12.76,17.55,45.05,93.96,84.47,80.97,69.13,87.44,58.37,82.4119,0.00%
97,98,001412,德邦鑫星价值灵活配置混合A,2025-07-18,2.0386,2.1766,-1.59,9.39,17.23,57.07,20.19,84.24,85.92,55.89,22.08,131.83,84.5889,0.15%
98,99,002112,德邦鑫星价值灵活配置混合C,2025-07-18,1.9601,2.1081,-1.6,9.39,17.22,57.03,20.13,84.05,85.56,55.43,22.02,128.38,84.3932,0.00%
99,100,016076,华夏智造升级混合C,2025-07-18,0.9422,0.9422,-0.28,3.44,3.65,12.53,15.0,83.99,6.84,,26.47,-5.78,82.4908,0.00%
100,101,020726,建信灵活配置混合C,2025-07-18,1.5376,1.5376,0.44,2.41,9.11,23.88,37.58,83.9,,,39.46,138.91,80.1101,0.00%
101,102,012584,南方中国新兴经济9个月持有期混合(QDII)A,2025-07-17,1.4225,1.4225,0.89,3.02,6.59,17.53,44.52,83.74,104.94,94.04,39.82,42.25,,0.15%
102,103,008284,易方达全球医药行业混合发起式(QDII)A(人民币),2025-07-17,1.3305,1.3305,5.56,13.93,20.68,54.14,92.83,83.37,54.14,55.81,84.74,33.05,,0.15%
103,104,019035,易方达全球医药行业混合发起式(QDII)C(人民币),2025-07-17,1.3201,1.3201,5.57,13.95,20.82,54.56,93.22,83.27,,,85.07,48.51,,0.00%
104,105,013038,长城大健康混合C,2025-07-18,1.1311,1.1311,1.98,16.26,24.86,50.91,85.46,83.17,47.99,17.96,79.31,13.11,82.0245,0.00%
105,106,017517,招商北证50成份指数发起式A,2025-07-18,1.4961,1.4961,-0.63,-0.15,1.84,6.91,24.95,83.08,63.2,,34.32,49.61,84.1127,0.12%
106,107,005689,中银医疗保健混合A,2025-07-18,2.8128,3.2763,1.84,10.38,14.61,36.78,80.55,82.97,75.23,57.71,76.37,262.55,82.4716,0.15%
107,108,019416,南方港股医药行业混合发起(QDII)C,2025-07-17,1.4425,1.4425,5.31,11.74,14.92,40.02,76.45,82.83,,,68.77,44.25,,0.00%
108,109,017518,招商北证50成份指数发起式C,2025-07-18,1.4846,1.4846,-0.64,-0.15,1.82,6.83,24.76,82.52,62.22,,34.11,48.46,83.5559,0.00%
109,110,010159,中银医疗保健混合C,2025-07-18,2.7599,3.1899,1.84,10.37,14.58,36.66,80.22,82.27,73.86,55.87,76.01,26.01,81.7757,0.00%
110,111,019923,华泰柏瑞中证2000指数增强A,2025-07-18,1.5098,1.5098,0.04,2.6,9.29,23.59,29.18,82.21,,,29.34,50.98,79.6098,0.15%
111,112,090019,大成景恒混合A,2025-07-18,3.147,4.213,0.45,2.45,7.67,20.12,26.87,82.19,32.9,55.33,25.47,321.3,78.8373,0.15%
112,113,014424,博时恒生医疗保健ETF发起式联接(QDII)A,2025-07-18,1.0212,1.0212,0.73,11.34,15.76,41.97,71.43,82.13,30.3,8.87,64.79,2.12,82.1945,0.12%
113,114,014425,博时恒生医疗保健ETF发起式联接(QDII)C,2025-07-18,1.0151,1.0151,0.73,11.34,15.73,41.89,71.24,81.79,29.77,8.21,64.6,1.51,81.8524,0.00%
114,115,019924,华泰柏瑞中证2000指数增强C,2025-07-18,1.5008,1.5008,0.03,2.59,9.25,23.47,28.92,81.5,,,29.06,50.08,78.9223,0.00%
115,116,003598,华商润丰灵活配置混合A,2025-07-18,3.434,3.434,-0.98,7.15,16.17,40.39,29.49,81.21,64.62,84.23,35.36,243.4,80.832,0.15%
116,117,006038,大成景恒混合C,2025-07-18,3.127,3.127,0.45,2.44,7.62,19.94,26.49,81.11,31.33,52.54,25.05,208.38,77.7816,0.00%
117,118,007509,华商润丰灵活配置混合C,2025-07-18,3.415,3.415,-0.96,7.15,16.2,40.42,29.41,81.07,64.34,83.6,35.3,241.5,80.6878,0.00%
118,119,011673,长城医药科技六个月持有混合A,2025-07-18,0.9577,0.9577,1.87,14.93,23.57,49.34,81.69,80.94,49.08,16.1,76.08,-4.23,79.9173,0.15%
119,120,018112,工银北证50成份指数A,2025-07-18,1.563,1.563,-0.64,-0.14,1.79,6.52,23.93,80.71,68.37,,33.38,56.3,81.7653,0.10%
120,121,019598,平安中证港股医药ETF联接A,2025-07-18,1.2562,1.2562,0.66,10.74,15.53,41.66,70.26,80.7,,,63.85,25.62,80.6442,0.12%
121,122,009162,富国医药成长30股票,2025-07-18,1.2714,1.2714,1.62,12.92,19.34,51.0,89.65,80.26,64.77,27.75,82.38,27.14,79.5763,0.15%
122,123,018113,工银北证50成份指数C,2025-07-18,1.5524,1.5524,-0.63,-0.14,1.77,6.45,23.75,80.18,67.34,,33.17,55.24,81.2281,0.00%
123,124,019599,平安中证港股医药ETF联接C,2025-07-18,1.2498,1.2498,0.66,10.74,15.51,41.56,70.02,80.16,,,63.59,24.98,80.1124,0.00%
124,125,011674,长城医药科技六个月持有混合C,2025-07-18,0.9382,0.9382,1.87,14.91,23.53,49.13,81.26,80.04,47.61,14.36,75.59,-6.18,79.0458,0.00%
125,126,018557,易方达港股通医药ETF联接A,2025-07-18,1.3207,1.3207,0.65,11.13,16.01,44.37,72.71,79.96,,,65.54,32.07,79.8339,0.12%
126,127,012585,南方中国新兴经济9个月持有期混合(QDII)C,2025-07-17,1.3445,1.3445,0.88,3.0,6.49,17.18,43.67,79.94,98.3,85.5,38.92,34.45,,0.00%
127,128,006228,中欧医疗创新股票A,2025-07-18,1.6587,1.6587,1.56,13.02,20.74,46.09,66.69,79.73,21.29,-17.44,59.52,65.87,77.3821,0.15%
128,129,017521,富国北证50成份指数A,2025-07-18,1.343,1.343,-0.64,-0.12,1.77,6.61,24.03,79.52,51.24,,33.72,34.3,80.438,0.12%
129,130,018558,易方达港股通医药ETF联接C,2025-07-18,1.3125,1.3125,0.64,11.12,15.99,44.25,72.45,79.4,,,65.28,31.25,79.3033,0.00%
130,131,012060,富国全球消费精选混合(QDII)人民币A,2025-07-17,1.5944,1.5944,0.74,1.06,4.79,19.35,40.09,79.15,90.19,84.88,40.75,59.44,,0.15%
131,132,017522,富国北证50成份指数C,2025-07-18,1.3359,1.3359,-0.64,-0.13,1.75,6.56,23.9,79.15,50.64,,33.58,33.59,80.089,0.00%
132,133,013477,华宝中证金融科技主题ETF发起式联接A,2025-07-18,1.1246,1.1246,-0.58,-2.19,11.38,25.63,22.17,78.96,20.42,42.82,17.85,12.46,74.0597,0.10%
133,134,160125,南方香港优选股票,2025-07-17,1.6455,1.7355,0.94,2.44,6.04,17.5,47.91,78.72,69.01,57.89,42.33,78.94,,0.13%
134,135,017525,华夏北证50成份指数A,2025-07-18,1.3573,1.3573,-0.64,-0.14,1.8,6.7,24.49,78.69,54.59,,34.19,35.73,79.6796,0.12%
135,136,017527,嘉实北证50成份指数A,2025-07-18,1.3806,1.3806,-0.63,-0.14,1.79,6.09,23.46,78.63,52.12,,33.02,38.06,79.6253,0.10%
136,137,013478,华宝中证金融科技主题ETF发起式联接C,2025-07-18,1.1126,1.1126,-0.59,-2.2,11.35,25.53,22.0,78.44,19.71,41.57,17.65,11.26,73.5455,0.00%
137,138,017528,嘉实北证50成份指数C,2025-07-18,1.3716,1.3716,-0.64,-0.15,1.77,6.03,23.3,78.18,51.37,,32.83,37.16,79.177,0.00%
138,139,017526,华夏北证50成份指数C,2025-07-18,1.3471,1.3471,-0.63,-0.14,1.78,6.62,24.31,78.16,53.69,,33.96,34.71,79.1595,0.00%
139,140,006229,中欧医疗创新股票C,2025-07-18,1.5758,1.5758,1.56,13.0,20.66,45.77,66.0,78.12,19.25,-19.47,58.8,57.58,75.8313,0.00%
140,141,017523,南方北证50成份指数发起A,2025-07-18,1.3169,1.3169,-0.64,-0.13,1.79,5.27,22.5,78.03,51.82,,31.72,31.69,79.0726,0.12%
141,142,007770,同泰开泰混合A,2025-07-18,0.99,0.99,0.03,-0.57,2.18,6.6,24.81,77.96,-8.66,-36.64,32.69,-1.0,79.1531,0.15%
142,143,012062,富国全球消费精选混合(QDII)人民币C,2025-07-17,1.5556,1.5556,0.74,1.05,4.74,19.11,39.57,77.93,87.78,81.41,40.18,55.56,,0.00%
143,144,017524,南方北证50成份指数发起C,2025-07-18,1.3068,1.3068,-0.65,-0.14,1.76,5.18,22.31,77.51,50.92,,31.5,30.68,78.549,0.00%
144,145,011891,易方达先锋成长混合A,2025-07-18,1.5285,1.5285,0.07,13.06,18.87,72.05,42.03,77.42,25.72,35.9,46.83,52.85,77.4025,0.15%
145,146,007771,同泰开泰混合C,2025-07-18,0.9662,0.9662,0.03,-0.58,2.15,6.49,24.56,77.25,-9.39,-37.4,32.39,-3.38,78.4303,0.00%
146,147,018956,中航机遇领航混合发起A,2025-07-18,1.9083,1.9083,-0.57,13.15,22.89,72.95,39.17,77.01,,,42.23,90.83,78.4959,0.15%
147,148,015052,东方红医疗升级股票发起A,2025-07-18,1.6023,1.6023,2.72,11.52,16.39,36.02,73.5,76.97,59.23,56.32,70.15,60.23,75.1722,0.15%
148,149,018120,万家北证50成份指数发起式A,2025-07-18,1.474,1.474,-0.63,-0.14,1.7,6.27,22.49,76.78,57.06,,31.78,47.4,77.7831,0.12%
149,150,011892,易方达先锋成长混合C,2025-07-18,1.5052,1.5052,0.07,13.06,18.83,71.89,41.75,76.71,24.71,34.26,46.52,50.52,76.7081,0.00%
150,151,017483,财通资管数字经济混合发起式A,2025-07-18,1.4746,1.5696,0.18,7.67,15.28,21.52,38.26,76.55,40.07,,39.31,59.71,72.6783,0.15%
151,152,010644,富国全球健康生活主题混合(QDII)人民币A,2025-07-17,1.0532,1.0532,4.46,10.83,15.07,42.09,73.02,76.44,65.13,36.14,70.89,5.32,,0.15%
152,153,018121,万家北证50成份指数发起式C,2025-07-18,1.4674,1.4674,-0.63,-0.14,1.69,6.23,22.36,76.41,56.42,,31.64,46.74,77.4365,0.00%
153,154,003413,华泰柏瑞新经济沪港深混合A,2025-07-18,1.6247,1.6247,-0.03,-0.7,7.22,13.74,38.96,76.39,18.08,2.95,34.1,62.47,79.9623,0.15%
154,155,018240,嘉实制造升级股票发起式A,2025-07-18,1.3816,1.3816,-0.66,8.97,14.5,26.89,22.28,76.36,,,32.87,38.16,75.5081,0.15%
155,156,018432,嘉实恒生医疗保健ETF发起联接(QDII)A,2025-07-18,1.137,1.137,0.67,11.22,15.87,41.31,67.97,76.33,22.89,,61.53,13.7,76.5802,0.10%
156,157,015053,东方红医疗升级股票发起C,2025-07-18,1.5762,1.5762,2.72,11.51,16.34,35.88,73.11,76.15,57.64,54.0,69.74,57.62,74.3584,0.00%
157,158,002236,大成360互联网+大数据100A,2025-07-18,2.8661,2.8661,-0.18,2.15,7.14,20.84,22.44,76.05,33.43,75.83,21.52,186.61,70.8554,0.12%
158,159,018433,嘉实恒生医疗保健ETF发起联接(QDII)C,2025-07-18,1.1363,1.1363,0.66,11.22,15.84,41.16,67.79,76.03,22.55,,61.34,13.63,76.3072,0.00%
159,160,018957,中航机遇领航混合发起C,2025-07-18,1.8858,1.8858,-0.56,13.14,22.83,72.69,38.75,75.96,,,41.77,88.58,77.437,0.00%
160,161,020303,信澳星亮智选混合A,2025-07-18,1.6421,1.6421,0.0,1.73,9.25,21.97,28.01,75.87,,,28.56,64.21,74.5615,0.15%
